nama_produk,link_produk,harga,jumlah_terjual,toko,rating
"paket termometer digital gun & pulse oximeter Sp02..alat ukur suhu tubuh & alat ukur detak jantung
          ",https://www.bukalapak.com/p/kesehatan-2359/alat-kesehatan/timbangan-alat-ukur-kesehatan/47zyam9-jual-paket-termometer-digital-gun-pulse-oximeter-sp02-alat-ukur-suhu-tubuh-alat-ukur-detak-jantung,380000,0,bintang7 herbal,0
"Oxymeter Finger Tip Pulse  Oximeter alat pengukur kadar oxigen
          ",https://www.bukalapak.com/p/kesehatan-2359/alat-kesehatan/timbangan-alat-ukur-kesehatan/3z93kky-jual-oxymeter-finger-tip-pulse-oximeter-alat-pengukur-kadar-oxigen,47425,6227,HP TOKO,4.8
"Oximeter fingertip Pulse ujung jari ukur detak jantung akurat original
          ",https://www.bukalapak.com/p/kesehatan-2359/alat-kesehatan/timbangan-alat-ukur-kesehatan/44s6arm-jual-oximeter-fingertip-pulse-ujung-jari-ukur-detak-jantung-akurat-original,95000,361,PUTRA JAYA88,5
"Oximeter Oxymeter pulse Kesehatan Kadar Oksigen dan detak jantung oksimeter murah
          ",https://www.bukalapak.com/p/kesehatan-2359/alat-kesehatan/timbangan-alat-ukur-kesehatan/1oi7c17-jual-oximeter-oxymeter-pulse-kesehatan-kadar-oksigen-dan-detak-jantung-oksimeter-murah,65000,350,Chi Chi store,4.9
"LED 4 Warna Oximeter Oxymeter Pulse Oksigen Darah Jantung Saturasi Tes
          ",https://www.bukalapak.com/p/kesehatan-2359/alat-kesehatan/timbangan-alat-ukur-kesehatan/4g41by4-jual-led-4-warna-oximeter-oxymeter-pulse-oksigen-darah-jantung-saturasi-tes,36000,170,RK SHOP,4.9
"Oximeter Yuwell YX102 Digital OLED Pengukur Detak Jantung Kadar Oksigen SpO2 PR bpm
          ",https://www.bukalapak.com/p/kesehatan-2359/alat-kesehatan/timbangan-alat-ukur-kesehatan/4g647mj-jual-oximeter-yuwell-yx102-digital-oled-pengukur-detak-jantung-kadar-oksigen-spo2-pr-bpm,310000,4,Lakuge,5
"Fingertip Pulse Oxymeter Fingertip Oximeter SpO2 LED Full Colour LK87
          ",https://www.bukalapak.com/p/kesehatan-2359/alat-kesehatan/alat-bantu-kesehatan/3st5yfr-jual-fingertip-pulse-oxymeter-fingertip-oximeter-spo2-led-full-colour-lk87,69900,379,borneo shopping center,4.8
"pulse oximeter alat cek nadi detak jantung atau kadar oksigen darah
          ",https://www.bukalapak.com/p/kesehatan-2359/alat-kesehatan/alat-bantu-kesehatan/cyub8o-jual-pulse-oximeter-alat-cek-nadi-detak-jantung-atau-kadar-oksigen-darah,99000,285, Barang Ok,4.9
"Fingertip Pulse Oximeter Sp02 LED Monitor Alat Pengukur Kadar Oksigen Heart Rate Oxymeter
          ",https://www.bukalapak.com/p/kesehatan-2359/alat-kesehatan/timbangan-alat-ukur-kesehatan/3qbw6zo-jual-fingertip-pulse-oximeter-sp02-led-monitor-alat-pengukur-kadar-oksigen-heart-rate-oxymeter,19999,609,Keep Moving ,4.8
"Oximeter SP02 Heart Rate Fingertip Pulse LK87 AB-88 Alat Ukur Kadar Oksigen Darah dan Detak Jantung - HOMIA
          ",https://www.bukalapak.com/p/kesehatan-2359/alat-kesehatan/timbangan-alat-ukur-kesehatan/48owmd8-jual-oximeter-sp02-heart-rate-fingertip-pulse-lk87-ab-88-alat-ukur-kadar-oksigen-darah-dan-detak-jantung-homia,32000,254,HOMIA,4.9
"Fingertip Pulse Oxymeter Oximeter SpO2 LED Full Colour LK87
          ",https://www.bukalapak.com/p/kesehatan-2359/alat-kesehatan/alat-bantu-kesehatan/3lqo4hr-jual-fingertip-pulse-oxymeter-oximeter-spo2-led-full-colour-lk87,21000,1132,Juragan Kado,4.9
"Fingertrip pulse oximeter oxymeter akurat-Alat ukur detak jantung & kadar oksigen
          ",https://www.bukalapak.com/p/kesehatan-2359/alat-kesehatan/timbangan-alat-ukur-kesehatan/3q1i9ev-jual-fingertrip-pulse-oximeter-oxymeter-akurat-alat-ukur-detak-jantung-kadar-oksigen,130000,1,Cahaya  kinarikinarai,5
"pulse oximeter fingertrip Sp02 saturation monitor-alat ukur detak jantung & kadar oksigen
          ",https://www.bukalapak.com/p/kesehatan-2359/alat-kesehatan/timbangan-alat-ukur-kesehatan/3qeh2e1-jual-pulse-oximeter-fingertrip-sp02-saturation-monitor-alat-ukur-detak-jantung-kadar-oksigen,125000,2,bintang7 herbal,5
"Fingertip pulse oximeter oximetry Sp02 akurat-Alat ukur detak jantung dan cek kadar oksigen
          ",https://www.bukalapak.com/p/kesehatan-2359/alat-kesehatan/timbangan-alat-ukur-kesehatan/3spubyp-jual-fingertip-pulse-oximeter-oximetry-sp02-akurat-alat-ukur-detak-jantung-dan-cek-kadar-oksigen,150000,1,Cahaya  kinarikinarai,5
"Ujung jari pulse oximeter saturasi oksigen darah dan deteksi detak jantung dalam 5 detikmultifungsi cocok untuk perjalanan keluarga
          ",https://www.bukalapak.com/p/kesehatan-2359/alat-kesehatan/timbangan-alat-ukur-kesehatan/4g2e2ca-jual-ujung-jari-pulse-oximeter-saturasi-oksigen-darah-dan-deteksi-detak-jantung-dalam-5-detikmultifungsi-cocok-untuk-perjalanan-keluarga,54960,2,SUN666,5
